Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
1.73333316,8.66099,29.8008,78,9.1262,86,0,0,0
1.76666649,10.3357,29.5992,92,9.14265,85,0,0,0
1.79999982,10.004,29.3976,88,9.15898,84,0,0,0
1.83333315,12.3913,29.3976,109,9.17531,84,0,0,0
1.86666648,10.4588,29.2032,92,9.19154,84,0,0,0
1.89999981,12.4256,29.2032,108,9.20776,83,0,0,0
1.93333314,14.1514,29.3976,123,9.22409,83,0,0,0
1.96666647,13.9307,30.0024,124,9.24076,85,0,0,0
1.9999998,13.4356,30.3984,121,9.25765,86,0,0,0
2.03333313,10.6469,30.6,97,9.27465,87,0,0,0
2.06666646,10.3089,30.6,95,9.29165,88,0,0,0
2.09999979,10.5259,31.0032,97,9.30887,88,0,0,0
2.13333312,9.01282,31.1976,84,9.3262,89,0,0,0
2.16666645,7.93986,31.1976,74,9.34354,89,0,0,0
2.19999978,6.97421,31.1976,65,9.36087,89,0,0,0
2.23333311,9.65659,31.1976,90,9.3782,89,0,0,0
2.26666644,8.26175,31.0032,77,9.39542,89,0,0,0
2.29999977,9.01282,31.0032,84,9.41265,89,0,0,0
2.3333331,8.58364,31.0032,80,9.42987,89,0,0,0
2.36666643,9.97848,31.0032,93,9.4471,89,0,0,0
2.39999976,8.68118,30.6,80,9.4641,88,0,0,0
2.43333309,10.6344,31.0032,98,9.48132,88,0,0,0
2.46666642,9.97848,31.0032,93,9.49854,89,0,0,0
2.49999975,8.90552,31.1976,83,9.51588,89,0,0,0
2.53333308,8.36905,31.0032,78,9.5331,89,0,0,0
2.56666641,9.01282,31.1976,84,9.55043,89,0,0,0
2.59999974,9.01282,31.1976,84,9.56776,89,0,0,0
2.63333307,8.90552,31.0032,83,9.58499,89,0,0,0
2.6666664,9.33471,31.1976,87,9.60232,89,0,0,0
2.69999973,12.339,31.3992,115,9.61976,89,0,0,0
2.73333306,16.1144,31.6008,135,9.63732,80,0,0,0
2.76666639,10.964,31.8024,93,9.65499,81,0,0,0
2.79999972,15.0227,32.1984,129,9.67288,82,0,0,0
2.83333305,13.346,32.4,116,9.69088,83,0,0,0
2.86666638,13.346,32.8032,116,9.7091,83,0,0,0
2.89999971,11.9366,32.8032,105,9.72732,84,0,0,0
2.93333304,11.7093,33.1992,103,9.74577,84,0,0,0
2.96666637,12.7324,32.9976,112,9.7641,84,0,0,0
2.9999997,10.8974,32.6016,97,9.78221,85,0,0,0
3.03333303,13.706,33.1992,122,9.80066,85,0,0,0
3.06666636,14.0431,33.4008,125,9.81921,85,0,0,0
3.09999969,9.43695,32.6016,84,9.83732,85,0,0,0
3.13333302,11.2545,31.9968,99,9.8551,84,0,0,0
3.16666635,15.1391,31.8024,130,9.87277,82,0,0,0
3.19999968,14.0852,31.1976,118,9.8901,80,0,0,0
3.23333301,18.736,30.8016,155,9.90721,79,0,0,0
3.26666634,13.3445,30.1968,109,9.92399,78,0,0,0
3.29999967,22.8938,30.3984,187,9.94088,78,0,0,0
3.333333,21.9144,30.6,179,9.95788,78,0,0,0
3.36666633,18.8506,30.6,152,9.97488,77,0,0,0
3.39999966,20.732,29.8008,165,9.99143,76,0,0,0
3.43333299,21.8629,29.8008,174,10.008,76,0,0,0
3.46666632,22.6168,29.8008,180,10.0245,76,0,0,0
3.49999965,21.4859,29.5992,171,10.041,76,0,0,0
3.53333298,21.7724,29.2032,171,10.0572,75,0,0,0
3.56666631,21.1633,28.5984,164,10.0731,74,0,0,0
3.59999964,25.3322,28.0008,191,10.0887,72,0,0,0
3.63333297,25.5974,27.7992,193,10.1041,72,0,0,0
3.6666663,26.2269,27.7992,195,10.1195,71,0,0,0
3.69999963,22.0575,27.5976,164,10.1349,71,0,0,0
3.73333296,20.1899,27.2016,148,10.15,70,0,0,0
3.76666629,17.0227,26.7984,123,10.1649,69,0,0,0
3.79999962,19.929,26.7984,144,10.1798,69,0,0,0
3.83333295,18.9602,26.7984,137,10.1947,69,0,0,0
3.86666628,19.5138,27,141,10.2097,69,0,0,0
3.89999961,22.5585,26.7984,163,10.2245,69,0,0,0
3.93333294,22.8353,27.2016,165,10.2397,69,0,0,0
3.96666627,20.2058,27,146,10.2547,69,0,0,0
3.9999996,22.6969,26.7984,164,10.2695,69,0,0,0
4.03333293,20.5029,26.4024,146,10.2842,68,0,0,0
4.06666626,21.6263,26.5968,154,10.299,68,0,0,0
4.09999959,20.6433,26.5968,147,10.3138,68,0,0,0
4.13333292,20.5029,26.5968,146,10.3285,68,0,0,0
4.16666625,21.3129,26.7984,154,10.3434,69,0,0,0
4.19999958,16.4691,27,119,10.3584,69,0,0,0
4.23333291,20.0674,27,145,10.3734,69,0,0,0
4.26666624,20.4825,27.2016,148,10.3885,69,0,0,0
4.29999957,21.0085,27.5976,154,10.4039,70,0,0,0
4.3333329,20.4436,27.5976,152,10.4192,71,0,0,0
4.36666623,19.9171,27.5976,146,10.4345,70,0,0,0
4.39999956,17.1887,27.4032,126,10.4498,70,0,0,0
4.43333289,20.1899,27.5976,148,10.4651,70,0,0,0
4.46666622,19.3676,28.0008,144,10.4806,71,0,0,0
4.49999955,16.0481,28.2024,121,10.4963,72,0,0,0
4.53333288,18.4354,28.3968,139,10.5121,72,0,0,0
4.56666621,16.5786,28.3968,125,10.5279,72,0,0,0
4.59999954,17.3744,27.7992,131,10.5433,72,0,0,0
4.63333287,16.0052,27.4032,119,10.5585,71,0,0,0
4.6666662,19.0986,27.4032,140,10.5738,70,0,0,0
4.69999953,17.0523,27.5976,125,10.5891,70,0,0,0
4.73333286,16.4087,27.7992,122,10.6045,71,0,0,0
4.76666619,19.0986,28.0008,142,10.6201,71,0,0,0
4.79999952,16.7113,28.5984,126,10.636,72,0,0,0
4.83333285,11.9039,28.3968,91,10.6518,73,0,0,0
4.86666618,14.651,29.3976,112,10.6681,73,0,0,0
4.89999951,10.5817,29.2032,82,10.6843,74,0,0,0
4.93333284,11.0772,29.8008,87,10.7009,75,0,0,0
4.96666617,0,29.0016,0,10.717,0,0,0,0
4.9999995,0,29.2032,0,10.7332,0,0,0,0
5.03333283,13.8078,29.5992,107,10.7496,74,0,0,0
5.06666616,9.92624,29.5992,79,10.7661,76,0,0,0
5.09999949,9.42197,29.5992,74,10.7825,75,0,0,0
5.13333282,11.0571,29.8008,88,10.7991,76,0,0,0
5.16666615,10.1694,30.0024,82,10.8158,77,0,0,0
5.19999948,8.44745,30.3984,69,10.8326,78,0,0,0
5.23333281,7.95775,30.3984,65,10.8495,78,0,0,0
5.26666614,0,30.0024,0,10.8662,0,0,0,0
5.29999947,0,29.3976,0,10.8825,0,0,0,0
5.3333328,14.9522,29.8008,119,10.8991,76,0,0,0
5.36666613,11.9056,30.3984,96,10.916,77,0,0,0
5.39999946,8.56988,30.3984,70,10.9329,78,0,0,0
5.43333279,6.97833,30.1968,57,10.9496,78,0,0,0
5.46666612,9.05323,30.1968,73,10.9664,77,0,0,0
5.49999945,10.4063,30.3984,85,10.9833,78,0,0,0
5.53333278,11.9978,30.6,98,11.0003,78,0,0,0
5.56666611,11.753,30.6,96,11.0173,78,0,0,0
5.59999944,11.5081,30.6,94,11.0343,78,0,0,0
5.63333277,12.4017,30.3984,100,11.0512,77,0,0,0
5.6666661,13.0218,30.0024,105,11.0679,77,0,0,0
5.69999943,12.0296,30.0024,97,11.0845,77,0,0,0
5.73333276,12.3136,29.5992,98,11.101,76,0,0,0
5.76666609,12.0623,29.8008,96,11.1175,76,0,0,0
5.79999942,14.8265,30.0024,118,11.1342,76,0,0,0
5.83333275,12.5649,30.1968,100,11.151,76,0,0,0
5.86666608,4.92867,29.3976,16,11.1673,31,0,0,0
5.89999941,19.8525,29.8008,158,11.1839,76,0,0,0
5.93333274,16.4942,30.1968,133,11.2006,77,0,0,0
5.96666607,16.1222,30.3984,130,11.2175,77,0,0,0
5.9999994,15.4258,30.8016,126,11.2346,78,0,0,0
6.03333273,14.6261,31.1976,121,11.252,79,0,0,0
6.06666606,13.9658,31.3992,117,11.2694,80,0,0,0
6.09999939,11.9366,31.3992,100,11.2869,80,0,0,0
6.13333272,11.9071,31.3992,101,11.3043,81,0,0,0
6.16666605,12.025,31.8024,102,11.322,81,0,0,0
6.19999938,9.66719,31.6008,82,11.3395,81,0,0,0
6.23333271,10.6103,31.6008,90,11.3571,81,0,0,0
6.26666604,12.9682,31.3992,110,11.3745,81,0,0,0
6.29999937,16.3532,31.0032,137,11.3917,80,0,0,0
6.3333327,17.5272,30.3984,145,11.4086,79,0,0,0
6.36666603,18.1065,29.8008,146,11.4252,77,0,0,0
6.39999936,18.7166,29.0016,147,11.4413,75,0,0,0
6.43333269,18.4534,28.5984,143,11.4572,74,0,0,0
6.46666602,21.2207,28.0008,160,11.4727,72,0,0,0
6.49999935,21.923,28.0008,163,11.4883,71,0,0,0
6.53333268,23.8732,27.4032,175,11.5035,70,0,0,0
6.56666601,25.2374,27.4032,185,11.5188,70,0,0,0
6.59999934,28.9207,27.5976,212,11.5341,70,0,0,0
6.63333267,25.689,27.5976,191,11.5494,71,0,0,0
6.666666,25.689,27.5976,191,11.5647,71,0,0,0
6.69999933,24.613,27.5976,183,11.5801,71,0,0,0
6.73333266,25.0165,27.4032,186,11.5953,71,0,0,0
6.76666599,25.0165,27.5976,186,11.6106,71,0,0,0
6.79999932,22.6455,27.4032,166,11.6259,70,0,0,0
6.83333265,24.1461,27.2016,177,11.641,70,0,0,0
6.86666598,23.6004,27.2016,173,11.6561,70,0,0,0
6.89999931,25.3264,27.2016,183,11.6712,69,0,0,0
6.93333264,26.1568,26.7984,189,11.6861,69,0,0,0
6.96666597,26.1568,27.2016,189,11.7012,69,0,0,0
6.9999993,25.5103,27.4032,187,11.7164,70,0,0,0
7.03333263,24.9646,27.2016,183,11.7315,70,0,0,0
7.06666596,26.6016,27.4032,195,11.7468,70,0,0,0
7.09999929,27.1473,27.5976,199,11.7621,70,0,0,0
7.13333262,28.3789,27.5976,211,11.7774,71,0,0,0
7.16666595,24.882,27.4032,185,11.7926,71,0,0,0
7.19999928,24.882,27.5976,185,11.808,71,0,0,0
7.23333261,26.3288,27.2016,193,11.8231,70,0,0,0
7.26666594,24.0097,27.4032,176,11.8383,70,0,0,0
7.29999927,24.5553,27.5976,180,11.8536,70,0,0,0
7.3333326,25.7416,28.0008,186,11.8692,69,0,0,0
7.36666593,25.7831,27.4032,189,11.8844,70,0,0,0
7.39999926,25.2374,27.5976,185,11.8998,70,0,0,0
7.43333259,25.2374,27.5976,185,11.9151,70,0,0,0
7.46666592,23.9405,27.5976,178,11.9304,71,0,0,0
7.49999925,24.8282,27.2016,182,11.9455,70,0,0,0
7.53333258,24.5553,27.4032,180,11.9608,70,0,0,0
7.56666591,24.5553,27.4032,180,11.976,70,0,0,0
7.59999924,24.6918,27.5976,181,11.9913,70,0,0,0
7.63333257,23.6715,27.5976,176,12.0066,71,0,0,0
7.6666659,24.075,27.7992,179,12.0221,71,0,0,0
7.69999923,23.1335,27.5976,172,12.0374,71,0,0,0
7.73333256,26.4959,28.0008,197,12.053,71,0,0,0
7.76666589,24.7475,27.7992,184,12.0684,71,0,0,0
7.79999922,24.2095,27.7992,180,12.0839,71,0,0,0
7.83333255,22.5955,27.7992,168,12.0993,71,0,0,0
7.86666588,23.1335,27.7992,172,12.1148,71,0,0,0
7.89999921,23.608,28.0008,178,12.1303,72,0,0,0
7.93333254,22.547,27.7992,170,12.1458,72,0,0,0
7.96666587,20.8471,27.7992,155,12.1612,71,0,0,0
7.9999992,20.4436,27.5976,152,12.1765,71,0,0,0
8.03333253,23.537,27.5976,175,12.1919,71,0,0,0
8.06666586,22.999,27.7992,171,12.2073,71,0,0,0
8.09999919,21.5195,27.5976,160,12.2226,71,0,0,0
8.13333252,19.0986,27.4032,140,12.2379,70,0,0,0
8.16666585,18.1437,27.4032,133,12.2531,70,0,0,0
8.19999918,20.7593,27.2016,150,12.2682,69,0,0,0
8.23333251,16.6075,26.7984,120,12.2831,69,0,0,0
8.26666584,17.1326,26.7984,122,12.298,68,0,0,0
8.29999917,18.9602,27.2016,137,12.3131,69,0,0,0
8.3333325,15.5003,27,112,12.3281,69,0,0,0
8.36666583,16.3307,27,118,12.3431,69,0,0,0
8.39999916,14.5315,26.7984,105,12.358,69,0,0,0
8.43333249,12.4556,26.5968,90,12.3727,69,0,0,0
8.46666582,13.54,25.4016,95,12.3869,67,0,0,0
8.49999915,0,24.9984,0,12.4007,0,0,0,0
8.53333248,0,24.9984,0,12.4146,0,0,0,0
8.56666581,34.7247,26.4024,240,12.4293,66,0,1,0
8.59999914,58.6221,29.5992,442,12.4457,72,0,1,0
8.63333247,61.4736,32.6016,515,12.4639,80,0,1,0
8.6666658,41.9725,34.4016,378,12.483,86,0,1,0
8.69999913,38.3033,35.5968,361,12.5027,90,0,1,0
8.73333246,40.2731,36.4032,388,12.523,92,0,1,0
8.76666579,32.696,37.0008,315,12.5435,92,0,1,0
8.79999912,36.8023,37.5984,343,12.5644,89,0,1,0
8.83333245,43.8638,38.3976,418,12.5857,91,0,1,0
8.86666578,34.398,38.5992,335,12.6072,93,0,1,0
8.89999911,29.7774,38.5992,290,12.6286,93,0,1,0
8.93333244,39.8401,39.1968,388,12.6504,93,0,1,0
8.96666577,36.0638,39.3984,355,12.6723,94,0,1,0
8.9999991,35.9858,39.6,358,12.6943,95,0,1,0
9.03333243,36.2077,39.8016,364,12.7164,96,0,1,0
9.06666576,34.6531,39.8016,352,12.7385,97,0,1,0
9.09999909,34.9485,40.1976,355,12.7609,97,0,1,0
9.13333242,37.5081,40.3992,381,12.7833,97,0,1,0
9.16666575,37.4096,40.3992,380,12.8057,97,0,1,0
9.19999908,35.2438,40.1976,358,12.8281,97,0,1,0
9.23333241,36.0314,40.1976,366,12.8504,97,0,1,0
9.26666574,35.3422,40.3992,359,12.8729,97,0,1,0
9.29999907,35.3422,40.3992,359,12.8953,97,0,1,0
9.3333324,33.6687,40.1976,342,12.9176,97,0,1,0
9.36666573,40.5599,40.3992,412,12.9401,97,0,1,0
9.39999906,30.8137,40.0032,313,12.9623,97,0,1,0
9.43333239,34.6531,40.3992,352,12.9847,97,0,1,0
9.46666572,34.3578,40.0032,349,13.007,97,0,1,0
9.49999905,34.0624,40.3992,346,13.0294,97,0,1,0
9.53333238,33.8655,40.1976,344,13.0517,97,0,1,0
9.56666571,36.6381,40.6008,376,13.0743,98,0,1,0
9.59999904,34.2021,40.6008,351,13.0969,98,0,1,0
9.63333237,33.6174,40.8024,345,13.1195,98,0,1,0
9.6666657,33.6174,40.8024,345,13.1422,98,0,1,0
9.69999903,37.0397,41.4,384,13.1652,99,0,1,0
9.73333236,33.4225,41.6016,350,13.1883,100,0,1,0
9.76666569,35.9054,41.4,376,13.2113,100,0,1,0
9.79999902,30.1758,41.4,316,13.2343,100,0,1,0
9.83333235,31.7992,41.8032,333,13.2575,100,0,1,0
9.86666568,32.8496,41.4,344,13.2805,100,0,1,0
9.89999901,32.3721,41.4,339,13.3035,100,0,1,0
9.93333234,31.7992,41.6016,333,13.3266,100,0,1,0
9.96666567,39.7251,41.9976,416,13.35,100,0,1,0
9.999999,29.4118,41.6016,308,13.3731,100,0,1,0
10.03333233,29.8893,41.6016,313,13.3962,100,0,1,0
10.06666566,36.4783,41.8032,382,13.4194,100,0,1,0
10.09999899,30.2713,41.4,317,13.4424,100,0,1,0
10.13333232,31.8947,41.8032,334,13.4656,100,0,1,0
10.16666565,37.5354,41.9976,397,13.489,101,0,1,0
10.19999898,30.4623,41.4,319,13.512,100,0,1,0
10.23333231,33.8045,41.6016,354,13.5351,100,0,1,0
10.26666564,30.1912,41.1984,313,13.558,99,0,1,0
10.29999897,33.3743,40.8024,346,13.5806,99,0,1,0
10.3333323,40.9665,41.4,429,13.6036,100,0,1,0
10.36666563,26.6223,40.6008,276,13.6262,99,0,1,0
10.39999896,32.3507,40.8024,332,13.6489,98,0,1,0
10.43333229,35.079,40.6008,360,13.6714,98,0,1,0
10.46666562,31.766,40.6008,326,13.694,98,0,1,0
10.49999895,37.71,41.4,387,13.717,98,0,1,0
10.53333228,36.4783,41.6016,382,13.7401,100,0,1,0
10.56666561,35.7144,41.6016,374,13.7632,100,0,1,0
10.59999894,36.4953,41.6016,386,13.7863,101,0,1,0
10.63333227,0,39.6,0,13.8083,0,0,2,0
10.6666656,0,37.5984,0,13.8292,0,0,2,0
10.69999893,0.909457,36.2016,6,13.8493,63,0,2,0
10.73333226,0.974418,34.7976,5,13.8686,49,0,2,0
10.76666559,0.974418,33.4008,5,13.8872,49,0,2,0
10.79999892,0,31.8024,0,13.9049,0,0,2,0
10.83333225,8.00076,30.8016,62,13.922,74,0,2,0
10.86666558,11.5115,30.3984,88,13.9389,73,0,2,0
10.89999891,13.6608,30.0024,103,13.9555,72,0,2,0
10.93333224,11.5668,29.3976,86,13.9719,71,0,2,0
10.96666557,11.0499,29.0016,81,13.988,70,0,2,0
10.9999989,12.3172,28.5984,89,14.0039,69,0,2,0
11.03333223,17.9914,28.8,130,14.0199,69,0,2,0
11.06666556,14.5315,28.3968,105,14.0356,69,0,2,0
11.09999889,18.6834,28.5984,135,14.0515,69,0,2,0
11.13333222,18.9622,29.0016,139,14.0676,70,0,2,0
11.16666555,20.0535,29.3976,147,14.084,70,0,2,0
11.19999888,18.1437,29.3976,133,14.1003,70,0,2,0
11.23333221,16.6431,29.2032,122,14.1165,70,0,2,0
11.26666554,15.6881,29.2032,115,14.1328,70,0,2,0
11.29999887,17.7344,29.2032,130,14.149,70,0,2,0
11.3333322,18.0226,29.3976,134,14.1653,71,0,2,0
11.36666553,18.0226,29.3976,134,14.1816,71,0,2,0
11.39999886,18.0226,29.2032,134,14.1979,71,0,2,0
11.43333219,18.5606,29.3976,138,14.2142,71,0,2,0
11.46666552,18.9641,29.3976,141,14.2305,71,0,2,0
11.49999885,20.5781,29.3976,153,14.2469,71,0,2,0
11.53333218,19.9056,29.2032,148,14.2631,71,0,2,0
11.56666551,21.4177,29.0016,157,14.2792,70,0,2,0
11.59999884,23.0547,29.0016,169,14.2953,70,0,2,0
11.63333217,22.6969,28.5984,164,14.3112,69,0,2,0
11.6666655,21.0361,28.5984,152,14.3271,69,0,2,0
11.69999883,22.1881,28.2024,158,14.3428,68,0,2,0
11.73333216,22.2342,27.5976,156,14.3581,67,0,2,0
11.76666549,23.8732,27.2016,165,14.3732,66,0,2,0
11.79999882,25.2689,26.7984,172,14.3881,65,0,2,0
11.83333215,27.6195,26.5968,188,14.4029,65,0,2,0
11.86666548,19.7807,25.9992,145,14.4173,70,0,2,0
11.89999881,23.4276,26.2008,184,14.4319,75,0,2,0
11.93333214,21.0085,26.2008,165,14.4464,75,0,2,0
11.96666547,19.4857,25.7976,151,14.4608,74,0,2,0
11.9999988,20.5181,25.9992,159,14.4752,74,0,2,0
12.03333213,20.5181,25.9992,159,14.4896,74,0,2,0
12.06666546,23.0456,26.4024,181,14.5043,75,0,2,0
12.09999879,20.732,26.5968,165,14.5191,76,0,2,0
12.13333212,21.4859,26.5968,171,14.5339,76,0,2,0
12.16666545,21.4859,26.7984,171,14.5487,76,0,2,0
12.19999878,19.5947,26.7984,158,14.5636,77,0,2,0
12.23333211,18.9746,26.5968,153,14.5784,77,0,2,0
12.26666544,18.9746,26.7984,153,14.5933,77,0,2,0
12.29999877,18.596,26.5968,148,14.6081,76,0,2,0
12.3333321,20.1038,26.5968,160,14.6229,76,0,2,0
12.36666543,21.109,25.9992,168,14.6373,76,0,2,0
12.39999876,0,21.3984,0,14.6492,0,0,2,0
12.43333209,0,15.6024,0,14.6579,0,0,2,0
12.46666542,0,8.4024,0,14.6625,0,0,2,0
12.49999875,0,8.7984,0,14.6674,0,0,2,0
12.53333208,66.3425,17.4024,264,14.6771,38,0,2,0
12.56666541,52.2509,20.8008,290,14.6886,53,0,2,0
12.59999874,61.3883,24.7968,405,14.7024,63,0,3,0
12.63333207,61.3883,24.7968,405,14.7162,63,0,3,0
12.6666654,66.9707,28.3968,533,14.732,76,0,3,0
12.69999873,44.7484,30.8016,403,14.7491,86,0,3,0
12.73333206,40.5058,32.1984,386,14.767,91,0,3,0
12.76666539,39.0013,33.7968,388,14.7857,95,0,3,0
12.79999872,36.3267,34.4016,369,14.8048,97,0,3,0
12.83333205,38.3882,35.5968,402,14.8246,100,0,3,0
12.86666538,33.098,36,357,14.8446,103,0,3,0
12.89999871,35.9235,37.0008,395,14.8652,105,0,3,0
12.93333204,36.8585,38.0016,413,14.8863,107,0,3,0
12.96666537,28.1222,38.0016,321,14.9074,109,0,3,0
12.9999987,28.127,38.2032,324,14.9286,110,0,3,0
13.03333203,35.9604,39.0024,418,14.9503,111,0,3,0
13.06666536,27.2958,39.3984,323,14.9722,113,0,3,0
13.09999869,33.2113,39.6,393,14.9942,113,0,3,0
13.13333202,31.056,40.0032,374,15.0164,115,0,3,0
13.16666535,29.0631,40.1976,350,15.0387,115,0,3,0
13.19999868,32.9804,40.3992,373,15.0612,108,0,3,0
13.23333201,35.5085,40.0032,383,15.0834,103,0,3,0
13.26666534,31.7374,39.3984,339,15.1053,102,0,3,0
13.29999867,33.1862,39.3984,351,15.1272,101,0,3,0
13.333332,35.8335,39.3984,379,15.1491,101,0,3,0
13.36666533,34.282,39.0024,359,15.1707,100,0,3,0
13.39999866,38.0062,39.1968,398,15.1925,100,0,3,0
13.43333199,34.6639,39.0024,363,15.2142,100,0,3,0
13.46666532,35.3035,38.5992,366,15.2356,99,0,3,0
13.49999865,35.4964,38.3976,368,15.257,99,0,3,0
13.53333198,32.7404,38.3976,336,15.2783,98,0,3,0
13.56666531,34.397,38.0016,353,15.2994,98,0,3,0
13.59999864,38.4895,38.3976,395,15.3207,98,0,3,0
13.63333197,32.9795,37.8,335,15.3417,97,0,3,0
13.6666653,31.9305,37.3968,321,15.3625,96,0,3,0
13.69999863,39.6893,37.2024,399,15.3832,96,0,3,0
13.73333196,34.0194,37.3968,342,15.404,96,0,3,0
13.76666529,33.5733,37.2024,334,15.4246,95,0,3,0
13.79999862,39.0013,37.2024,388,15.4453,95,0,3,0
13.83333195,36.1868,37.0008,360,15.4658,95,0,3,0
13.86666528,33.6738,37.0008,335,15.4864,95,0,3,0
13.89999861,39.721,36.7992,391,15.5068,94,0,3,0
13.93333194,35.2511,36.7992,347,15.5273,94,0,3,0
13.96666527,40.9112,36.7992,407,15.5477,95,0,3,0
13.9999986,32.813,36.5976,323,15.5681,94,0,3,0
14.03333193,43.9877,36.7992,433,15.5885,94,0,3,0
14.06666526,36.267,36.7992,357,15.609,94,0,3,0
14.09999859,37.8924,36.7992,373,15.6294,94,0,3,0
14.13333192,36.3686,36.4032,358,15.6496,94,0,3,0
14.16666525,36.5543,36.4032,356,15.6698,93,0,3,0
14.19999858,37.4784,36.5976,365,15.6902,93,0,3,0
14.23333191,36.2463,36.5976,353,15.7105,93,0,3,0
14.26666524,37.2829,36.5976,367,15.7308,94,0,3,0
14.29999857,34.1337,36.7992,336,15.7513,94,0,3,0
14.3333319,36.5718,37.2024,360,15.772,94,0,3,0
14.36666523,31.2614,37.3968,311,15.7927,95,0,3,0
14.39999856,36.0088,37.3968,362,15.8135,96,0,3,0
14.43333189,39.9877,37.8,402,15.8345,96,0,3,0
14.46666522,29.7308,37.5984,302,15.8554,97,0,3,0
14.49999855,35.736,37.8,363,15.8764,97,0,3,0
14.53333188,39.4639,38.0016,405,15.8975,98,0,3,0
14.56666521,32.192,37.8,327,15.9185,97,0,3,0
14.59999854,42.3319,38.3976,430,15.9398,97,0,3,0
14.63333187,34.2021,37.8,351,15.9608,98,0,3,0
14.6666652,0,35.4024,0,15.9805,0,0,4,0
14.69999853,0,33.1992,0,15.999,0,0,4,0
14.73333186,0.888307,31.0032,4,16.0162,43,0,4,0
14.76666519,0.936206,29.3976,5,16.0325,51,0,4,0
14.79999852,0.974418,27.5976,5,16.0478,49,0,4,0
14.83333185,3.85052,26.2008,25,16.0624,62,0,4,0
14.86666518,8.97055,25.2,62,16.0764,66,0,4,0
14.89999851,0,23.6016,0,16.0895,0,0,4,0
14.93333184,11.006,22.8024,68,16.1022,59,0,4,0
14.96666517,15.6411,22.8024,95,16.1148,58,0,4,0
14.9999985,14.4886,22.6008,88,16.1274,58,0,4,0
15.03333183,16.5856,22.3992,99,16.1398,57,0,4,0
15.06666516,16.4181,22.1976,98,16.1522,57,0,4,0
15.09999849,17.4233,22.0032,104,16.1644,57,0,4,0
15.13333182,19.6102,22.1976,115,16.1767,56,0,4,0
15.16666515,22.6796,22.0032,133,16.189,56,0,4,0
15.19999848,22.1142,22.6008,132,16.2015,57,0,4,0
